code,title,description
11,Agriculture Forestry Fishing and Hunting,"This sector comprises establishments primarily engaged in growing crops, raising animals, harvesting timber, and harvesting fish and other animals from a farm, ranch, or their natural habitats."
111110,Soybean Farming,"This industry comprises establishments primarily engaged in growing soybeans and/or producing soybean seeds."
111120,Oilseed (except Soybean) Farming,"This industry comprises establishments primarily engaged in growing oily seeds, such as sunflower, rapeseed, and safflower."
111130,Dry Pea and Bean Farming,"This industry comprises establishments primarily engaged in growing dry peas, beans, and lentils."
111140,Wheat Farming,"This industry comprises establishments primarily engaged in growing wheat."
111150,Corn Farming,"This industry comprises establishments primarily engaged in growing corn (except sweet corn)."
111160,Rice Farming,"This industry comprises establishments primarily engaged in growing rice."
111191,Oilseed and Grain Combination Farming,"This industry comprises establishments primarily engaged in growing a combination of oilseeds and grains."
111199,All Other Grain Farming,"This industry comprises establishments primarily engaged in growing grains (except wheat, corn, and rice)."
111211,Potato Farming,"This industry comprises establishments primarily engaged in growing potatoes."
111219,Other Vegetable (except Potato) and Melon Farming,"This industry comprises establishments primarily engaged in growing vegetables and melons."
111310,Orange Groves,"This industry comprises establishments primarily engaged in growing oranges."
111320,Citrus (except Orange) Groves,"This industry comprises establishments primarily engaged in growing citrus fruits (except oranges)."
111331,Apple Orchards,"This industry comprises establishments primarily engaged in growing apples."
111332,Grape Vineyards,"This industry comprises establishments primarily engaged in growing grapes."
111333,Strawberry Farming,"This industry comprises establishments primarily engaged in growing strawberries."
111334,Berry (except Strawberry) Farming,"This industry comprises establishments primarily engaged in growing berries (except strawberries)."
111335,Tree Nut Farming,"This industry comprises establishments primarily engaged in growing tree nuts."
111336,Fruit and Tree Nut Combination Farming,"This industry comprises establishments primarily engaged in growing a combination of fruit and tree nuts."
111339,Other Noncitrus Fruit Farming,"This industry comprises establishments primarily engaged in growing noncitrus fruits (except apples, grapes, berries, and tree nuts)."
111411,Mushroom Production,"This industry comprises establishments primarily engaged in growing mushrooms."
111419,Other Food Crops Grown Under Cover,"This industry comprises establishments primarily engaged in growing food crops (except mushrooms) under cover."
111421,Nursery and Tree Production,"This industry comprises establishments primarily engaged in growing nursery and tree products."
111422,Floriculture Production,"This industry comprises establishments primarily engaged in growing floriculture products."
111910,Tobacco Farming,"This industry comprises establishments primarily engaged in growing tobacco."
111920,Cotton Farming,"This industry comprises establishments primarily engaged in growing cotton."
111930,Sugarcane Farming,"This industry comprises establishments primarily engaged in growing sugarcane."
